Bowman,Savannah,101,1,31
Macon,Savannah,166,2,22
Macon,Atlanta,83.8,1,17
Augusta,Atlanta,145,2,10
Columbia SC,Augusta,75.8,1,13
Greenville,Atlanta,145,2,11
Greenville,Spartanburg,29.8,0,34
Jacksonville,Savannah,139,2,0
Jacksonville,Daytona Beach,89.1,1,26
Miami,Daytona Beach,269,4,0
Orlando,Daytona Beach,55.1,0,56
Orlando,Tampa,84.5,1,18
Hialeah,Tampa,271,3,51
Lake City,Tampa,172,2,29
Jacksonville,Lake City,64.3,0,59
Macon,Lake City,211,3,0
Atlanta,Chattanooga,118,1,45
Knoxville,Chattanooga,112,1,41
Dayton,Cincinnati,54.4,0,55
Dayton,Columbus,71.7,1,7
Dayton,Toledo,150,2,18
Strongsville,Toledo,109,1,39
Cleveland,Toledo,117,1,50
Detroit,Toledo,60.5,0,58
Detroit,Port Huron,62.7,1,2
Detroit,Flint,68.5,1,4
Flint,Port Huron,66.9,1,2
Saginaw,Flint,38.2,0,38
Saginaw,Sault Ste. Marie,247,3,44
Flint,Lansing,56.7,0,51
Detroit,Lansing,90.5,1,23
Marshall,Lansing,46.1,0,43
Muskegon,Lansing,108,1,38
Detroit,Marshall,108,1,41
Angola,Marshall,46.8,0,48
Angola,Toledo,84,1,20
Angola,Indianapolis,162,2,31
Dayton,Indianapolis,117,1,49
Cincinnati,Indianapolis,108,1,44
Louisville,Indianapolis,114,1,45
Louisville,Cincinnati,99.4,1,32
Louisville,Lexington KY,78.7,1,17
Louisville,Nashville,174,2,34
Knoxville,Nashville,180,2,39
Wildwood,Nashville,126,1,55
Wildwood,Chattanooga,11.4,0,14
Wildwood,Birmingham,137,2,4
Nashville,Birmingham,192,2,45
Atlanta,Birmingham,147,2,11
Montgomery,Birmingham,91.3,1,22
Montgomery,Atlanta,160,2,18
Montgomery,Mobile,168,2,22
Tallahassee,Mobile,243,3,27
Tallahassee,Lake City,105,1,35
Gary,Indianapolis,151,2,20
Gary,Angola,138,2,10
Gary,Marshall,149,2,15
Mobile,Slidell,115,1,38
Birmingham,Meridian,146,2,7
Birmingham,Memphis,238,3,32
Nashville,Memphis,212,3,5
Nashville,Goreville,178,2,36
Louisville,Mt. Vernon,182,2,42
Indianapolis,Effingham,142,2,12
Indianapolis,Champaign,122,1,58
Gary,Country Club Hills,22,0,31
Chicago,Gary,30.6,0,39
